item,itemLabel,startDate,endDate,psid
Q1193050,Juozas Nekrošius,1994-11-15,1996-03-19,Q1193050-1FBCE468-47B8-4E13-87F8-A1F16DB83EAF
Q1193050,Juozas Nekrošius,1996-03-19,1996-12-10,Q1193050-EE302CDD-AD42-4415-8DD6-260D3A92EC92
Q1282384,Dainius Trinkūnas,1992-12-17,1993-03-31,Q1282384-A613E069-91EE-4B42-846C-ECCBAFA37B64
Q1282384,Dainius Trinkūnas,1993-03-31,1994-11-15,Q1282384-C98E86AA-23C4-4AF9-A3B5-48176B8C4931
Q1383255,Darius Kuolys,1990-03-17,1992-12-17,Q1383255-7D587AC3-3057-4168-BCC2-1A4613913051
Q1525188,Gintautas Kėvišas,2000-11-09,2001-07-12,Q1525188-D53B70D3-58EF-49B2-9997-2096942D67AA
Q16472414,Simonas Kairys,2020-12-11,,Q16472414-630AE36C-9D37-493E-8AAE-CC349CD3C431
Q1702974,Jonas Jučas,2006-07-18,2008-12-09,Q1702974-CBCC7B72-59D5-40FA-914C-D63E34405F88
Q27975961,Liana Ruokytė Jonsson,2016-12-13,2018-12-21,Q27975961-28EBC36C-6A93-49FC-B141-78FB6DB0063E
Q391280,Šarūnas Birutis,2012-12-13,2016-12-13,Q391280-B50BA824-CE73-48A9-817C-D03A405CECED
Q449633,Remigijus Vilkaitis,2008-12-09,2010-07-01,Q449633-9344F9F4-4F68-451D-917B-5A50F380AF16
Q471699,Arūnas Gelūnas,2010,2012,Q471699-49268f38-4b51-e3a5-03df-11ac60231905
Q541403,Roma Žakaitienė,2001-07-12,2004-12-14,Q541403-DDE699F1-43C3-4585-92E7-58F8324ED111
Q599550,Saulius Šaltenis,1996-12-10,1999-06-10,Q599550-C340C3CD-F666-4C82-8F01-13BDE805FE87
Q60336319,Mindaugas Kvietkauskas,2018-12-21,2020-12-11,Q60336319-5D03A17A-33D5-404E-B2D1-022E3B68718E
Q719244,Arūnas Bėkšta,1999-11-11,2000-11-09,Q719244-00609190-A98F-440E-92C9-A4E2F1B9368F
Q719244,Arūnas Bėkšta,1999-06-10,1999-11-11,Q719244-21815843-BF6C-49F3-9663-3D36DACD36C6
Q981199,Vladimiras Prudnikovas,2004-12-14,2006-07-18,Q981199-93921019-0ED9-4090-AC14-89C43AAF13B1
